model,true_portion,diff_steps,B,b,reps,t_min,t_max,accumulate,epoch,verbose,no_seed,no_warnings,ckpt_dir,vis_dir,save_fig,date,gns_est,g_norm,b_true,runtime,user,host
0010000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:08:04,2.908870220184326,0.2836209535598755,5000,0:04:29.955969,cimsir,basalt.cip.ifi.lmu.de
0010000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:15:01,1.6810415983200073,0.8596681356430054,5000,0:04:30.693134,cimsir,basalt.cip.ifi.lmu.de
0010000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:16:32,4.380433559417725,0.28605154156684875,5000,0:08:31.970342,cimsir,arkose.cip.ifi.lmu.de
0010000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:24:22,0.015269114635884762,1.2578036785125732,5000,0:04:30.790314,cimsir,basalt.cip.ifi.lmu.de
0010000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:28:38,0.36568865180015564,0.8609291315078735,5000,0:05:54.108481,cimsir,arkose.cip.ifi.lmu.de
0010000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:31:20,0.09327846020460129,1.338232159614563,5000,0:04:30.207219,cimsir,basalt.cip.ifi.lmu.de
0010000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:34:38,0.21715790033340454,1.058887004852295,5000,0:05:18.664580,cimsir,arkose.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,101,200,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:43:03,0.8598865866661072,0.6440528631210327,5000,0:04:30.651532,cimsir,basalt.cip.ifi.lmu.de
0010000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:45:15,0.007438184693455696,1.294654130935669,5000,0:04:44.502192,cimsir,arkose.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:47:40,0.533273458480835,0.8087306022644043,5000,0:04:30.863909,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:57:01,0.4401533007621765,0.7600518465042114,5000,0:04:30.589074,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 06:57:24,4.291844367980957,0.2987006604671478,5000,0:04:39.971473,cimsir,arkose.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:01:37,0.4158458113670349,0.7804054021835327,5000,0:04:30.656711,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:04:34,0.8809938430786133,0.8083896040916443,5000,0:04:31.702539,cimsir,arkose.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,701,800,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:06:14,0.20284344255924225,0.7710273861885071,5000,0:04:30.738128,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:09:12,0.9517336487770081,0.829418420791626,5000,0:04:34.541267,cimsir,arkose.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:10:50,0.15914036333560944,0.7850110530853271,5000,0:04:31.122086,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,901,1000,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:15:27,0.11872884631156921,0.7746025919914246,5000,0:04:30.422601,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:16:18,0.10363727807998657,0.7601754069328308,5000,0:04:33.627886,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:20:04,7.489794731140137,0.22148124873638153,5000,0:04:30.298309,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:20:57,0.14689227938652039,0.7808151245117188,5000,0:04:33.892152,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,101,200,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:24:40,21.09827423095703,0.167252317070961,5000,0:04:30.729908,cimsir,basalt.cip.ifi.lmu.de
0020000.pt,0.1,1000,5000,50,2,801,900,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:27:59,0.4533899128437042,0.785028874874115,5000,0:04:33.243222,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:29:16,4.413991451263428,0.2540903389453888,5000,0:04:31.017568,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:33:53,5.525102138519287,0.2623456120491028,5000,0:04:31.866273,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,0,100,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:35:03,40.774295806884766,0.22477705776691437,5000,0:04:38.203101,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,401,500,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:38:31,1.6600682735443115,0.23706519603729248,5000,0:04:30.431560,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,201,300,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:39:50,1.1727246046066284,0.2538384795188904,5000,0:04:33.237712,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:43:08,1.0402343273162842,0.2264586240053177,5000,0:04:31.294409,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,301,400,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:44:29,3.9988930225372314,0.26198849081993103,5000,0:04:31.980380,cimsir,arkose.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,601,700,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:47:46,0.22113195061683655,0.23096567392349243,5000,0:04:30.833233,cimsir,basalt.cip.ifi.lmu.de
0030000.pt,0.1,1000,5000,50,2,501,600,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/3_time_intervals/visuals,,2025-01-31 07:49:12,2.1990277767181396,0.22640931606292725,5000,0:04:32.967360,cimsir,arkose.cip.ifi.lmu.de
